Frame,ActiveVehicles,TotalUniqueVehicles,CongestionLevel
1,0,0,Low
2,0,0,Low
3,15,15,Medium
4,15,15,Medium
5,15,15,Medium
6,15,15,Medium
7,15,15,Medium
8,15,15,Medium
9,15,15,Medium
10,15,15,Medium
11,15,15,Medium
12,15,15,Medium
13,15,15,Medium
14,15,15,Medium
15,15,15,Medium
16,15,15,Medium
17,15,15,Medium
18,15,15,Medium
19,16,16,High
20,16,16,High
21,16,16,High
22,16,16,High
23,17,17,High
24,18,18,High
25,18,18,High
26,18,18,High
27,18,18,High
28,18,18,High
29,18,18,High
30,18,18,High
31,20,20,High
32,20,20,High
33,20,20,High
34,20,20,High
35,19,20,High
36,20,21,High
37,21,22,High
38,21,22,High
39,21,22,High
40,21,22,High
41,21,22,High
42,20,22,High
43,19,22,High
44,19,22,High
45,19,22,High
46,19,22,High
47,19,22,High
48,21,24,High
49,20,24,High
50,20,24,High
51,20,24,High
52,20,24,High
53,19,24,High
54,19,24,High
55,18,24,High
56,18,25,High
57,18,25,High
58,18,25,High
59,18,25,High
60,18,25,High
61,18,25,High
62,18,25,High
63,18,25,High
64,18,25,High
65,18,25,High
66,18,25,High
67,18,25,High
68,18,25,High
69,18,25,High
70,18,25,High
71,18,25,High
72,19,26,High
73,19,26,High
74,19,26,High
75,19,26,High
76,18,26,High
77,18,26,High
78,18,26,High
79,18,26,High
80,18,26,High
81,17,26,High
82,17,26,High
